id_transacao,valor,moeda
1,1.250.00,BRL
2,3.500.50,BRL
3,999.99,USD
4,450.75,BRL
5,1.200.00,USD
6,780.40,BRL
7,2.150.30,EUR
8,3.000.00,BRL
9,650.90,USD
10,1.980.25,BRL
11,875.60,EUR
12,420.10,BRL
13,2.750.00,USD
14,1.330.45,BRL
15,980.00,EUR
16,3.600.90,BRL
17,1.250.75,USD
18,720.30,BRL
19,5.000.00,BRL
20,2.200.20,EUR
21,1.150.80,USD
22,960.40,BRL
23,4.300.10,BRL
24,750.60,USD
25,1.890.00,EUR
26,3.200.75,BRL
27,870.55,BRL
28,2.450.30,USD
29,1.780.90,EUR
30,990.00,BRL
31,4.120.50,BRL
32,2.010.70,USD
33,1.340.80,EUR
34,890.40,BRL
35,5.600.00,BRL
36,2.300.25,USD
37,1.760.60,EUR
38,970.15,BRL
39,3.450.00,BRL
40,1.880.35,USD
41,2.990.10,EUR
42,740.90,BRL
43,4.800.00,BRL
44,2.560.75,USD
45,1.920.45,EUR
46,860.30,BRL
47,3.100.50,BRL
48,1.450.20,USD
49,2.780.80,EUR
50,990.99,BRL
51,1.670.40,USD
52,2.340.60,BRL
53,4.500.00,EUR
